source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0018193,peptidyl-amino acid modification,0.004342779930157928,True,"""The alteration of an amino acid residue in a peptide."" [GOC:mah]",686,5,4,21026,0.8,0.0058309037900874635,query_1,['GO:0036211'],"['TP53', 'EGFR', 'TNF', 'GAPDH']","[['ISS', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['IDA', 'ISS', 'IEA'], ['ISS']]"
GO:BP,GO:0071478,cellular response to radiation,0.004998969927385993,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electromagnetic radiation stimulus. Electromagnetic radiation is a propagating wave in space with electric and magnetic components. These components oscillate at right angles to each other and to the direction of propagation."" [GOC:mah]",182,5,3,21026,0.6,0.016483516483516484,query_1,"['GO:0009314', 'GO:0071214']","['TP53', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IDA'], ['IMP']]"
GO:BP,GO:0006915,apoptotic process,0.005054625177234831,True,"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]",1923,5,5,21026,1.0,0.0026001040041601664,query_1,['GO:0012501'],"['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP'], ['ISS', 'IEA']]"
GO:BP,GO:0006006,glucose metabolic process,0.005165781207584447,True,"""The chemical reactions and pathways involving glucose, the aldohexose gluco-hexose. D-glucose is dextrorotatory and is sometimes known as dextrose; it is an important source of energy for living organisms and is found free as well as combined in homo- and hetero-oligosaccharides and polysaccharides."" [ISBN:0198506732]",184,5,3,21026,0.6,0.016304347826086956,query_1,['GO:0019318'],"['TP53', 'TNF', 'GAPDH']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0010564,regulation of cell cycle process,0.005265068598235612,True,"""Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."" [GOC:dph, GOC:tb]",720,5,4,21026,0.8,0.005555555555555556,query_1,"['GO:0022402', 'GO:0051726']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IMP'], ['IEA'], ['IMP', 'IBA', 'NAS', 'IEA']]"
GO:BP,GO:1902531,regulation of intracellular signal transduction,0.005461834003482393,True,"""Any process that modulates the frequency, rate or extent of intracellular signal transduction."" [GOC:dph, GOC:signaling, GOC:tb, GOC:TermGenie]",1953,5,5,21026,1.0,0.002560163850486431,query_1,"['GO:0009966', 'GO:0035556']","['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IMP', 'ISS', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP', 'NAS'], ['IDA']]"
GO:BP,GO:0012501,programmed cell death,0.005954629227795998,True,"""A process which begins when a cell receives an internal or external signal and activates a series of biochemical events (signaling pathway). The process ends with the death of the cell."" [GOC:lr, GOC:mtg_apoptosis]",1987,5,5,21026,1.0,0.0025163563160543532,query_1,['GO:0008219'],"['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP'], ['ISS', 'IEA']]"
GO:BP,GO:0008219,cell death,0.006014867809013247,True,"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]",1991,5,5,21026,1.0,0.0025113008538422904,query_1,['GO:0009987'],"['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IDA', 'IMP', 'IGI', 'ISS', 'TAS', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IMP', 'IGI', 'ISS', 'IBA', 'NAS', 'IEA'], ['IDA', 'IMP'], ['ISS', 'IEA']]"
GO:BP,GO:1903047,mitotic cell cycle process,0.006031092817191344,True,"""A process that is part of the mitotic cell cycle."" [GO_REF:0000060, GOC:mtg_cell_cycle, GOC:TermGenie]",745,5,4,21026,0.8,0.005369127516778523,query_1,"['GO:0000278', 'GO:0022402']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IMP', 'IEA'], ['IMP'], ['IEA'], ['IMP', 'IBA', 'NAS', 'IEA']]"
GO:BP,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,0.0064379357195005395,True,"""Any process that modulates the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine."" [GOC:ai]",198,5,3,21026,0.6,0.015151515151515152,query_1,"['GO:0001932', 'GO:0018108']","['TP53', 'EGFR', 'TNF']","[['ISS', 'IEA'], ['IMP', 'IEA'], ['ISS']]"
KEGG,KEGG:05205,Proteoglycans in cancer,0.00657588303758015,True,Proteoglycans in cancer,205,5,3,8484,0.6,0.014634146341463415,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'TNF']","[['KEGG'], ['KEGG'], ['KEGG']]"
GO:MF,GO:0031625,ubiquitin protein ligase binding,0.006767247837382493,True,"""Binding to a ubiquitin protein ligase enzyme, any of the E3 proteins."" [GOC:vp]",306,5,3,20246,0.6,0.00980392156862745,query_1,['GO:0044389'],"['TP53', 'EGFR', 'BRCA1']","[['EXP', 'IPI', 'IEA'], ['IPI'], ['IPI']]"
GO:BP,GO:0071356,cellular response to tumor necrosis factor,0.007463595530480548,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."" [GOC:mah]",208,5,3,21026,0.6,0.014423076923076924,query_1,"['GO:0034612', 'GO:0071345']","['TP53', 'TNF', 'BRCA1']","[['IGI'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IMP']]"
GO:BP,GO:0060252,positive regulation of glial cell proliferation,0.007526635876580977,True,"""Any process that activates or increases the rate or extent of glial cell proliferation."" [GOC:dph, GOC:sl, GOC:tb]",21,5,2,21026,0.4,0.09523809523809523,query_1,"['GO:0008284', 'GO:0014009', 'GO:0014015', 'GO:0060251']","['EGFR', 'TNF']","[['IEA'], ['IDA', 'IGI']]"
GO:BP,GO:0007623,circadian rhythm,0.007680928242194193,True,"""Any biological process in an organism that recurs with a regularity of approximately 24 hours."" [GOC:bf, GOC:go_curators]",210,5,3,21026,0.6,0.014285714285714285,query_1,['GO:0048511'],"['TP53', 'EGFR', 'TNF']","[['ISS', 'IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0044389,ubiquitin-like protein ligase binding,0.008026663444580062,True,"""Binding to a ubiquitin-like protein ligase, such as ubiquitin-ligase."" [GOC:jl]",324,5,3,20246,0.6,0.009259259259259259,query_1,['GO:0019899'],"['TP53', 'EGFR', 'BRCA1']","[['EXP', 'IPI', 'IEA'], ['IPI'], ['IPI']]"
KEGG,KEGG:05163,Human cytomegalovirus infection,0.008447281638224884,True,Human cytomegalovirus infection,223,5,3,8484,0.6,0.013452914798206279,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'TNF']","[['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0019318,hexose metabolic process,0.009572478327065344,True,"""The chemical reactions and pathways involving a hexose, any monosaccharide with a chain of six carbon atoms in the molecule."" [ISBN:0198506732]",226,5,3,21026,0.6,0.01327433628318584,query_1,['GO:0005996'],"['TP53', 'TNF', 'GAPDH']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0009651,response to salt stress,0.009889325832877636,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."" [GOC:jl]",24,5,2,21026,0.4,0.08333333333333333,query_1,['GO:0006970'],"['TP53', 'TNF']","[['IEA'], ['TAS']]"
GO:BP,GO:0048143,astrocyte activation,0.009889325832877636,True,"""A change in morphology and behavior of an astrocyte resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, PMID:10526094, PMID:10695728, PMID:12529254, PMID:12580336, PMID:9585813]",24,5,2,21026,0.4,0.08333333333333333,query_1,"['GO:0014002', 'GO:0061900']","['EGFR', 'TNF']","[['IEA'], ['NAS']]"
GO:BP,GO:0034612,response to tumor necrosis factor,0.009958362698996357,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a tumor necrosis factor stimulus."" [GOC:mah]",229,5,3,21026,0.6,0.013100436681222707,query_1,['GO:0034097'],"['TP53', 'TNF', 'BRCA1']","[['IGI'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IMP']]"
GO:BP,GO:0071345,cellular response to cytokine stimulus,0.010379882358480329,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:mah]",854,5,4,21026,0.8,0.00468384074941452,query_1,['GO:0034097'],"['TP53', 'TNF', 'BRCA1', 'GAPDH']","[['IGI', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IMP'], ['IDA']]"
KEGG,KEGG:05219,Bladder cancer,0.011067890626755894,True,Bladder cancer,41,5,2,8484,0.4,0.04878048780487805,query_1,['KEGG:00000'],"['TP53', 'EGFR']","[['KEGG'], ['KEGG']]"
KEGG,KEGG:05131,Shigellosis,0.011307243967259092,True,Shigellosis,246,5,3,8484,0.6,0.012195121951219513,query_1,['KEGG:00000'],"['TP53', 'EGFR', 'TNF']","[['KEGG'], ['KEGG'], ['KEGG']]"
GO:BP,GO:0018108,peptidyl-tyrosine phosphorylation,0.011318859787440372,True,"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]",239,5,3,21026,0.6,0.012552301255230125,query_1,"['GO:0006468', 'GO:0018212']","['TP53', 'EGFR', 'TNF']","[['ISS', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['ISS']]"
GO:BP,GO:0043066,negative regulation of apoptotic process,0.011379808721804415,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]",874,5,4,21026,0.8,0.004576659038901602,query_1,"['GO:0006915', 'GO:0042981', 'GO:0043069']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IGI', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IMP']]"
GO:BP,GO:0018212,peptidyl-tyrosine modification,0.011604947854164103,True,"""The modification of peptidyl-tyrosine."" [GOC:go_curators]",241,5,3,21026,0.6,0.012448132780082987,query_1,['GO:0018193'],"['TP53', 'EGFR', 'TNF']","[['ISS', 'IEA'], ['IDA', 'IMP', 'TAS', 'IEA'], ['ISS']]"
GO:BP,GO:0000278,mitotic cell cycle,0.012339602961175759,True,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194]",892,5,4,21026,0.8,0.004484304932735426,query_1,['GO:0007049'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IMP', 'IEA'], ['IMP', 'IEA'], ['IEA'], ['IMP', 'IBA', 'NAS', 'IEA']]"
GO:BP,GO:0005996,monosaccharide metabolic process,0.012951703295255385,True,"""The chemical reactions and pathways involving monosaccharides, the simplest carbohydrates. They are polyhydric alcohols containing either an aldehyde or a keto group and between three to ten or more carbon atoms. They form the constitutional repeating units of oligo- and polysaccharides."" [ISBN:0198506732]",250,5,3,21026,0.6,0.012,query_1,"['GO:0005975', 'GO:0044281']","['TP53', 'TNF', 'GAPDH']","[['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0043069,negative regulation of programmed cell death,0.013069402464292314,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]",905,5,4,21026,0.8,0.004419889502762431,query_1,"['GO:0012501', 'GO:0043067', 'GO:0048523']","['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IGI', 'IEA'], ['IMP', 'IBA', 'IEA'], ['IDA', 'IGI', 'IEA'], ['IMP']]"
GO:BP,GO:0048584,positive regulation of response to stimulus,0.013240359060637894,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2331,5,5,21026,1.0,0.002145002145002145,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']","['TP53', 'EGFR', 'TNF', 'BRCA1', 'GAPDH']","[['IMP', 'ISS'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IMP', 'ISS', 'IBA', 'TAS', 'NAS', 'IEA'], ['IMP'], ['IDA']]"
GO:BP,GO:0006974,DNA damage response,0.013242287172623128,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."" [GOC:go_curators]",908,5,4,21026,0.8,0.004405286343612335,query_1,['GO:0033554'],"['TP53', 'EGFR', 'TNF', 'BRCA1']","[['IDA', 'IMP', 'IEA'], ['IDA'], ['IEA'], ['IDA', 'IMP', 'IBA', 'TAS', 'NAS', 'IEA']]"
GO:BP,GO:0050790,regulation of catalytic activity,0.014438798737376662,True,"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]",928,5,4,21026,0.8,0.004310344827586207,query_1,['GO:0065009'],"['TP53', 'EGFR', 'TNF', 'GAPDH']","[['TAS'], ['IDA', 'IMP'], ['IDA'], ['IDA']]"
GO:BP,GO:0034097,response to cytokine,0.015648401028442626,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]",947,5,4,21026,0.8,0.004223864836325237,query_1,['GO:1901652'],"['TP53', 'TNF', 'BRCA1', 'GAPDH']","[['IGI', 'IEA'], ['IDA', 'IMP', 'IBA', 'NAS', 'IEA'], ['IMP'], ['IDA']]"
GO:BP,GO:0097421,liver regeneration,0.01665026585057303,True,"""The regrowth of lost or destroyed liver."" [GOC:gap, PMID:19447520]",31,5,2,21026,0.4,0.06451612903225806,query_1,"['GO:0001889', 'GO:0031100']","['EGFR', 'TNF']","[['IEA'], ['IEA']]"
